sector,year,driver_note,source_report
Construction & Transport,2022,"Deal value rose 110% (2021-22) driven by government infrastructure push, especially cement and road/tollway assets; 2023 growth expected to be moderate as margin pressure offsets demand revival",Deloitte India M&A Trends 2023
Medical & Pharma,2022,Among sectors with the largest-ever M&A transactions as mega-deals (>USD1bn) grew 123%; expected to leverage M&A for tech-disruption opportunities in 2023,Deloitte India M&A Trends 2023
Financial Services,2025,"Remained a key PE sector; deal volume fell 15% but total invested value rose 30% as investors made fewer, larger, control-oriented bets on well-established platforms",Deloitte Asia Pacific PE 2026 Almanac - India Edition
Consumer,2025,"Deal volume +4% YoY, capital allocation +159%; benefits from formalisation trend, shift to higher-value products, strong domestic demand",Deloitte Asia Pacific PE 2026 Almanac - India Edition
TMT,2025,"Deal volume +38% YoY, capital allocation +91%; scalable platforms with reliable cash flows benefiting from digitalisation",Deloitte Asia Pacific PE 2026 Almanac - India Edition
Industrials,2025,"Downturn: deal volume -62%, value -42%, reflecting investor prudence around execution-intensive, longer-gestation assets",Deloitte Asia Pacific PE 2026 Almanac - India Edition
Transport & Logistics,2025,"Deal volume +167% but investment value -47%, indicating a shift toward smaller, investigative deals rather than scaled platform investments",Deloitte Asia Pacific PE 2026 Almanac - India Edition
Healthcare,2025,"Relative stability with only slight decreases in deal numbers/value; resilience from structural demand, stable cash flows and scalability, though underwriting and profitability requirements now more stringent",Deloitte Asia Pacific PE 2026 Almanac - India Edition
Energy transition & defence-driven manufacturing,2026,"Identified as the next wave of PE investment interest, supported by policy frameworks, scalability and long-term value creation potential; benefiting from indigenisation imperatives",Deloitte Asia Pacific PE 2026 Almanac - India Edition
Automotives,2025,"Automotive sector led Q3 2025 deal value at US$5.1B, driven by the landmark Tata Motors-Iveco Group outbound acquisition (US$4.45B, 100% stake)",ey_india_ma_report_q3_2025
Healthcare,2025,"Healthcare delivery market projected to grow from US$82B (2025) to US$110B (2028E), 11% CAGR; drivers: rising incomes, insurance penetration, elevated lifestyle diseases, government transitioning from active provider to payer, ~60% of population in Tier-2+ cities driving hospital capacity expansion (listed chains plan ~31% of next-5-yr bed additions there); key themes: tertiary-care consolidation, scaled single-specialty platforms, integrated diagnostics, medical-device export potential",ey_india_ma_report_q3_2025
Technology,2025,"TMT topped Q3 2025 deal volume with 119 transactions (up from 78 in Q2 2025 and 98 in Q3 2024), reflecting sustained investor interest in digital and tech-driven businesses",ey_india_ma_report_q3_2025
Power (Renewable Energy),2025,"India is the world's 4th-largest renewable energy market; US$4B+ FDI in the past year; 220GW installed capacity (45% of energy mix); 60+ marquee global investors; shift toward 'RE 2.0'; sector positioned for US$500B-1T investment over the next 5 years; Power sector led H1 2025 M&A deal value at US$8.5B, ~80% from renewable energy (up from US$3.2B in H1 2024)",ey_transactions_newsletter_h1_2025
Consumer Products and Retail,2025,"Consumer products and retail led H1 2025 deal volume with 205 transactions (vs 218 in H1 2024, 203 in H2 2024), reflecting stable, continued investor interest in consumer-facing businesses despite macro headwinds",ey_transactions_newsletter_h1_2025
Technology Services,2024,"Deal activity rebounded sharply in 2024: 857 deals worth US$32.2B disclosed value (vs 722 deals / US$7.0B in 2023); IT spend growth held flat at 4-5%; weak public markets plus an easing rate cycle created attractive PE take-private entry points (deal value spiked 2x, ~10 large US$500m+ deals announced); PE-led middle-market consolidation reached 4-year highs; GenAI acted as a net positive catalyst for differentiated IP-led cloud-ecosystem assets",ey_connecting_dots_tech_services_2024
Technology Services,2024,"YTD 2024 PE firms accounted for 85% of total technology-services deal value (~US$15B) vs 50% (US$4B) in CY23; Healthcare & Life Sciences (HLS) IT-services sub-vertical grew at 12.9% CAGR vs 6.8% for overall IT services, driven by demand for digital patient-experience capabilities, GenAI use in drug development/commercialization, and Real World Data (RWD) analytics",ey_tech_services_deal_insights_q3_2024
Technology Services,2022,"2022 saw record deal activity (947 deals, highest in 5 years) after 8 consecutive quarters of hypergrowth, before a slowdown began in late 2022 / Q1 2023; PE investors drove 15 of 23 large (US$500m+) deals; top strategic imperatives were cloud value-chain technology and vertical specialists (BFSI & Life Sciences); mega-deals included the ~US$7B LTI-Mindtree merger and the ~US$4B CloudMed-R1 RCM (BPM) deal",ey_tech_services_ma_trends_2022
Technology Services,2022,"PE exits rose to 55+ in 2022 (vs 43 in 2021, 24 in 2020); investment horizons shortened from a typical 5-7 years to under 3 years as PE investors sought to capture rich private-market valuations; roughly one-third of exits were PE recapitalizations",ey_tech_services_ma_trends_2022
Overall,2019,"ArcelorMittal-Essar Steel (USD7.25bn) was the largest deal of 2019, an IBC-driven consolidation; top 10 M&A deals accounted for 58% of total M&A deal values while only 2% of volumes. Second IBC-driven deal Patanjali-Ruchi Soya also featured in the top-10.",Grant Thornton Dealtracker 2019
IT and ITeS,2019,"M&A activity moderate; largest M&A deal was L&T's 20% stake purchase in Mindtree (USD476m). PE top deals concentrated in cloud technology, data analytics/AI and software development (Baring PE-NIIT Technologies USD381m largest).",Grant Thornton Dealtracker 2019
E-commerce,2019,"Consolidation among travel/logistics and foodtech players (Ebix-Yatra, Hyundai/Kia-Ola, Delivery Hero-Zomato UAE unit). PE funding concentrated in fintech (Paytm) and logistics/retail-tech (Delhivery, Lenskart, Grofers, BigBasket, PolicyBazaar).",Grant Thornton Dealtracker 2019
Pharma healthcare and biotech,2019,"Hospitals sector saw major consolidation via Radiant Life Care-Max Healthcare merger (USD1.02bn). Outbound and inbound generics/API deals prominent (Dr Reddy's-Wockhardt generics business, Novavax-Serum Institute).",Grant Thornton Dealtracker 2019
Banking and financial services,2019,"Nippon Life-Reliance Nippon Life AMC (USD860m, 43% stake) was the largest deal. PE activity strong in insurance and NBFC (Warburg Pincus/Premji Invest-SBI General Insurance, Blackstone-Aadhaar Housing Finance).",Grant Thornton Dealtracker 2019
Retail and consumer,2019,"Patanjali's IBC acquisition of Ruchi Soya (USD613m) led the sector. Amazon made two significant minority-stake inbound deals (Witzig Advisory Services, Future Coupons) as it built its position in Future Group ecosystem.",Grant Thornton Dealtracker 2019
Overall,2020,"2020 recorded 1,313 deals worth USD77.7bn (M&A USD37.5bn across 358 deals, PE USD40.2bn across 953 deals). A near-total absence of insolvency/IBC-driven deals was noted due to the moratorium on new insolvency admissions during COVID-19. Reliance-led telecom/retail megadeals (Jio Platforms stake sales to Facebook, Google and a consortium of PE investors; Reliance Retail-Future Group) dominated deal values.",Grant Thornton Dealtracker 2020
Real estate,2020,"Real estate saw a near-standstill in H1 2020 followed by a pickup, highlighted by the successful Mindspace REIT listing and Blackstone's acquisition of Prestige's commercial/retail/hotel portfolio (USD1.24bn) and Embassy Office Parks REIT-Embassy TechVillage merger (USD1.32bn).",Grant Thornton Dealtracker 2020
IT and ITeS,2020,"Clarivate Analytics' USD950m acquisition of Piramal's Decision Resources Group was the standout inbound M&A deal. PE activity concentrated in SaaS/software (Thoma Bravo-Majesco USD421m, Carlyle-Nxtra Data USD235m).",Grant Thornton Dealtracker 2020
Pharma healthcare and biotech,2020,"Hospital consolidation continued (Manipal-Columbia Asia). Generics business carve-outs were prominent (Dr Reddy's-Wockhardt). PE backed API/CDMO and biologics scale-up (New Mountain Capital-Aurobindo's Natrol, Carlyle-Piramal Pharma, Goldman Sachs-Biocon Biologics).",Grant Thornton Dealtracker 2020
Banking and financial services,2020,"YES Bank's rescue recapitalisation by a consortium of Indian banks (SBI, HDFC, ICICI, Axis, Kotak and others, USD1.39bn) was the year's largest banking deal amid COVID-19-driven stress. PE investors focused on capital adequacy support for NBFCs and banks (PAG-Edelweiss Wealth Management, Brookfield-IndoStar Capital Finance).",Grant Thornton Dealtracker 2020
Retail and consumer,2020,"Reliance Retail's USD3.3bn acquisition of Future Group's retail, wholesale and logistics business was the marquee domestic deal, later contested by Amazon via arbitration and CCI proceedings. HUL's Horlicks India (GSK Consumer Healthcare) acquisition for USD412m also featured.",Grant Thornton Dealtracker 2020
Overall,2021,"2021 was a record year for PE (USD48.2bn across 1,624 deals, the highest since 2011) even as the second COVID-19 wave hit the economy in Q2. Start-up, e-commerce and IT & ITeS drove 81% of PE deal volumes and over 67% of PE fund inflows (USD32.2bn). The year saw the birth of 33 unicorns.",Grant Thornton Dealtracker 2021
Start-up,2021,"Start-up M&A volumes grew 73% YoY to 122 deals worth USD857m, driven partly by the emergence of Thrasio-style roll-up start-ups (Mensa Brands, GlobalBees, 10Club, Upscalio, Evenflow, Powerhouse91, GOAT Brand Labs) which executed 28 M&A deals in the year.",Grant Thornton Dealtracker 2021
Banking and financial services,2021,Piramal Capital & Housing Finance's USD5.1bn acquisition of Dewan Housing Finance Corporation (DHFL) via the IBC process was the largest M&A deal of the year and of the financial services sector.,Grant Thornton Dealtracker 2021
Education,2021,"Byju's pursued an aggressive acquisition strategy, acquiring Aakash Educational Services (USD1bn), Great Learning (USD600m), Epic! Creations (USD500m) and Tynker (USD200m) in the same year, alongside raising multiple large funding rounds exceeding USD1.7bn cumulatively from global investors.",Grant Thornton Dealtracker 2021
IT and ITeS,2021,Prosus/PayU's USD4.7bn acquisition of BillDesk (IndiaIdeas.com) was the largest inbound digital payments deal in India's history. Wipro's USD1.45bn acquisition of Capco marked its largest ever acquisition.,Grant Thornton Dealtracker 2021
Pharma healthcare and biotech,2021,"Deal activity was led by diagnostics consolidation (Docon Technologies-Thyrocare, USD623m) and API/animal health scale-up (Multiples-Zydus Animal Health, USD395m PE deal).",Grant Thornton Dealtracker 2021
Energy and natural resources,2021,"Adani Green Energy's USD3.5bn acquisition of SB Energy India was the largest outbound-classified M&A deal, alongside Total SE taking a 20% stake in Adani Green Energy for USD2.48bn.",Grant Thornton Dealtracker 2021
Overall,2022,"India Inc. recorded over 2,000 deals worth over USD127bn in 2022, a 47% increase in values YoY, driven by landmark deals (HDFC-HDFC Bank merger USD40bn, L&T-Mindtree/LTI-Mindtree merger USD17.7bn, Adani's USD10.5bn acquisition of Ambuja Cement/ACC). Domestic M&A saw record deal values of USD70.7bn across 355 deals, the highest average ticket size on record.",Grant Thornton Dealtracker 2022
Start-up,2022,"Start-up M&A volumes grew 73% YoY (year framed against 2021 comparison) but PE start-up funding began cooling amid tightening global liquidity in H2 2022; PE/VC deal value in new ventures still hit a record USD11bn across 1,072 deals for the year overall (per sector-spotlight figures).",Grant Thornton Dealtracker 2022
Banking and financial services,2022,"BFSI saw megadeals create history: the HDFC-HDFC Bank USD40bn merger anchored the year, while fintech (NBFC/insurance) continued strong momentum with deals like Carlyle/Advent's USD1.1bn stake in Yes Bank.",Grant Thornton Dealtracker 2022
IT and ITeS,2022,"Acceleration of digitisation remained the key sector theme; L&T Infotech-Mindtree's USD17.7bn merger was the standout deal of the year, alongside Baring PE Asia's USD800m investment in IGT Solutions.",Grant Thornton Dealtracker 2022
Pharma healthcare and biotech,2022,Biotech firms drove M&A (Biocon's USD3.34bn outbound acquisition of Viatris' generics business) while API and healthcare drove PE investment activity (PAG/CX Partners/Samara Capital-Optimus Drugs).,Grant Thornton Dealtracker 2022
Energy and natural resources,2022,"Labelled 'Green Energy is the new buzz' - the sector recorded 27 deals worth USD6.5bn, driven by Shell's USD1.55bn Sprng Energy-Solenergi Power investment and JSW Neo Energy's USD1.3bn acquisition of Mytrah Energy's 1.75GW renewable portfolio; cleantech led PE deal volumes (~59% share).",Grant Thornton Dealtracker 2022
Manufacturing,2022,"Industrials witnessed the sector's largest-ever deal: Adani's USD10.5bn acquisition of Ambuja Cement and ACC from Holcim, accounting for 84% of total manufacturing sector deal values for the year.",Grant Thornton Dealtracker 2022
Media and entertainment,2022,"Entertainment remained active with Viacom18's USD1.8bn fundraise from Bodhi Tree Systems and Ver Se Innovation's USD805m fundraise from a consortium including CPPIB, contributing 80% of the sector's deal value.",Grant Thornton Dealtracker 2022
Overall,2023,"2023 recorded 1,641 deals worth USD65.9bn, a 21% decrease in volumes and 52% decline in values YoY, reflecting a global funding winter and cautious investor sentiment; only eight multi-billion-dollar M&A/PE deals were recorded versus 11 in 2022. Domestic M&A hit its lowest level in three years (350 deals, USD14.4bn) while inbound M&A rose 38% in volume and 178% in value (USD7.7bn) driven by two multi-billion-dollar deals.",Grant Thornton Dealtracker 2023
Pharma healthcare and biotech,2023,"The hospital sub-sector emerged as the top performer, surpassing life sciences/biotech in deal value; Temasek's USD2bn investment in Manipal Health Enterprises was the year's largest PE healthcare deal (34% of sector PE value). Nirma-Glenmark Life Sciences (USD689m) was the largest M&A deal in the sector.",Grant Thornton Dealtracker 2023
Banking and financial services,2023,M&A volumes were driven by consolidation in banking/NBFC segments and a rush of inbound insurance and TPA transactions as foreign players sought exposure to the Indian insurance market; overall PE activity in FinTech fell 53% YoY even as NBFC PE interest rose (37 deals vs 24 in 2022).,Grant Thornton Dealtracker 2023
IT and ITeS,2023,Technology deal-making and valuations 'took a knock' in 2023 amid global macroeconomic weakness and cost optimisation by tech buyers; no billion-dollar tech deals were recorded (versus the USD17.7bn L&T-Mindtree merger in 2022). GenAI is flagged as the next big opportunity expected to drive a 2024 rebound.,Grant Thornton Dealtracker 2023
Retail and consumer,2023,"Cautious investor approach and shifting consumer preference defined the year: M&A activity fell 36% to USD3.4bn and PE investment fell 36% to USD5.2bn YoY, though e-commerce festive-season order volumes and GMV grew 18-22%, with Tier 2/3 cities playing a bigger role.",Grant Thornton Dealtracker 2023
Automotive,2023,"Auto components led M&A activity while electric vehicles (EVs) continued to dominate the PE segment; overall sector deal value rose 41% YoY to USD2.9bn even as deal count held flat, signalling consolidation. Ola Electric alone attracted around USD530m in PE funding across multiple 2023 tranches ahead of its planned IPO.",Grant Thornton Dealtracker 2023
Start-up,2023,"Start-ups faced a slowdown, with only 81 M&A transactions in 2023 versus 133 in 2022, and deal value falling to USD655m from USD1bn, reflecting cautious investor sentiment amid the prevailing global funding winter and a shift in investor focus toward unit economics and profitability over growth.",Grant Thornton Dealtracker 2023
"Consumer Foods, Industrial Products & Services, Pharmaceuticals (general)",2013,"82% of surveyed acquirers cited access to India's growing domestic market as the primary reason for investing; only 24% cited cost advantage as the main objective, reflecting a shift from 'factory India' to 'market India'",KPMG Doing Deals Successfully in India
"Infrastructure (Energy, Real Estate, Logistics)",2008,"Named the highest priority sector for future PE investment, driven by currently poor infrastructure and increasing government encouragement of private-sector participation",KPMG Private Equity Investing in India (undated; internal evidence points to ~2008)
Retail & Consumer,2008,"Second priority sector for PE investment, driven by growth in disposable income and increasing spending power",KPMG Private Equity Investing in India (undated; internal evidence points to ~2008)
Media & Entertainment,2008,Named among the high-priority sectors for future PE investment,KPMG Private Equity Investing in India (undated; internal evidence points to ~2008)
Financial Services,2008,Named among the high-priority sectors for future PE investment,KPMG Private Equity Investing in India (undated; internal evidence points to ~2008)
"Industrial goods (power, ports) / BPO / IT",2008,Remain high priority given infrastructure-serving industrial goods focus and continued BPO/IT investment interest,KPMG Private Equity Investing in India (undated; internal evidence points to ~2008)
Cleantech,2024,"Poised for significant growth driven by government renewable energy targets (500GW by 2030), the National Green Hydrogen Mission, and rising subsidies (USD1.8bn FY23, +8% YoY); market could unlock USD500bn in investment by 2030",KPMG Exploring India's dynamic Start-up Ecosystem
"Deeptech (AI, robotics, biotech, quantum)",2024,"~12% of India's startup landscape (3,600+ companies); secured ~USD850mn funding in 2023; supported by the National Deep Tech Startup Policy and a strong STEM talent base (34% of graduates)",KPMG Exploring India's dynamic Start-up Ecosystem
Edtech,2024,"Growing due to demand for online learning (K-12, skill development, test prep); 580mn+ people aged 5-24; National Education Policy 2020 support; market projected to reach USD30bn by 2031",KPMG Exploring India's dynamic Start-up Ecosystem
Healthtech,2024,"Driven by technological advancements, rising chronic-disease prevalence and digital-health government initiatives (Ayushman Bharat Digital Mission); healthcare innovation opportunity estimated at USD60bn by FY28",KPMG Exploring India's dynamic Start-up Ecosystem
Spacetech,2024,"Sector valued at USD8.4bn (2% of global space economy), projected to reach USD44bn by 2033; driven by the IN-SPACe policy and rising satellite/space-data demand",KPMG Exploring India's dynamic Start-up Ecosystem
Semiconductors,2024,Emerging hub for chip design/manufacturing backed by the Semicon India programme (USD9.1bn budget); market projected to reach USD109bn by 2030,KPMG Exploring India's dynamic Start-up Ecosystem
Fintech,2024,"Experiencing unprecedented growth; financial-institution tech spending projected +11.4% in 2024; mobile payments, digital lending and blockchain solutions are fertile ground for co-investment",KPMG Exploring India's dynamic Start-up Ecosystem
IT & ITES,2016,Dominated PE deal statistics: 56.6% of deal volumes and 22.3% of deal values in 2016,KPMG Private Equity Review - 2016
Fintech,2016,"Boosted by the November 2016 demonetisation; growing investor interest across lending, wealth management and credit-reporting sub-segments; banks/large FIs expected to increasingly acquire fintech companies",KPMG Private Equity Review - 2016
Healthcare,2016,"One of the largest sectors, estimated worth USD280bn by 2020; India accounts for ~1/5 of world disease burden and needs 600,000-700,000 additional beds requiring USD25-30bn investment",KPMG Private Equity Review - 2016
Pharmaceuticals,2016,Expected strong M&A/PE/VC interest in 2017-18 after the automatic FDI limit was raised to 74% for existing pharma companies in 2016,KPMG Private Equity Review - 2016
Education,2016,"Received significant investor interest despite a general sector dip; driven by young population and skill gap; e.g. Byju's Think and Learn raised USD140mn from Times Internet, Chan Zuckerberg Initiative, Sequoia Capital, IFC and others",KPMG Private Equity Review - 2016
Real Estate,2016,"Boosted by regulatory reforms (RERA 2016, affordable-housing infrastructure status); USD1.8bn raised by real-estate-focused PE funds in 2016",KPMG Private Equity Review - 2016
Infrastructure,2016,"PE investment worth USD3bn in 2016, a sharp uptrend after a three-year downward trend; focus on roads, airports, railways and irrigation",KPMG Private Equity Review - 2016
Manufacturing,2016,"Witnessed the maximum PE/VC exits in 2016, followed by technology, e-commerce and financial services",KPMG Private Equity Review - 2016
Pharmaceuticals (overall),2006,"India represented USD6bn of the USD550bn global market, growing 10%/yr vs 7% global average; 8% of global volume (4th largest) but 13% by value; drug exports growing 30%/yr; driven by the new product-patent regime (Jan 2005) and the patent cliff on blockbuster drugs",KPMG The Indian Pharmaceutical Industry: Collaboration for Growth
OTC Medicines,2006,"Market worth ~USD940mn growing 20%/year, double the rate of prescription medicines; government seeking wider retail availability",KPMG The Indian Pharmaceutical Industry: Collaboration for Growth
Pharmaceuticals (cross-border M&A),2006,"Indian pharma firms made 18 international acquisitions between Jan-2004 and Oct-2005 to improve global competitiveness, move up the value chain and acquire R&D/manufacturing assets; most targets were in the EU due to more reasonable valuations and a pro-generic regulatory climate",KPMG The Indian Pharmaceutical Industry: Collaboration for Growth
Healthcare / Multi-speciality Hospitals (MSH),2025,"Market growing ~12% CAGR; private hospitals hold 67% share vs government 33%; growth drivers include rising health-insurance coverage (61mn in 2014 to 312mn in 2024), technological advancements (digital health, AI, robotics) and government infrastructure/insurance policies",KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID
Healthcare / MSH (PE activity),2024,"PE deal value in hospitals grew 3x over the last three years led by mega-deals; CY2024 saw INR212bn cumulative deal size across 45 transactions (4 PE, 12 M&A); marquee global funds (KKR, IFC, Temasek, Blackstone) are driving consolidation; standalone-hospital EV/EBITDA multiples have risen from 8-9x to 12-13x",KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID
Healthcare / MSH (platform consolidation),2025,PE funds are pursuing platform/roll-up strategies to create regional and national hospital chains; most of India except the North-East is now covered by a PE-backed MSH platform,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID
Healthcare / MSH (IPO trend),2025,Hospital players are increasingly exploring public listings to provide PE exits; IPO count is accelerating from 1 (up to 2010) to 12 (2021-2025) with 19+ expected in 2026-2030,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID
Infrastructure,2025,"Chairman & CEO letter: 'Infrastructure, financial services, and industrials continue to anchor large strategic transactions' in the year's M&A activity",Dhruva Advisors - M&A in India: Tax and Regulatory Perspective (November 2025)
Financial Services,2025,Chairman & CEO letter: financial services (alongside infrastructure and industrials) continues to anchor large strategic transactions,Dhruva Advisors - M&A in India: Tax and Regulatory Perspective (November 2025)
Industrials,2025,Chairman & CEO letter: industrials (alongside infrastructure and financial services) continues to anchor large strategic transactions,Dhruva Advisors - M&A in India: Tax and Regulatory Perspective (November 2025)
Technology,2025,"Chairman & CEO letter: 'technology, healthcare, and renewables are attracting increasing investor interest'",Dhruva Advisors - M&A in India: Tax and Regulatory Perspective (November 2025)
Healthcare,2025,Chairman & CEO letter: healthcare (alongside technology and renewables) attracting increasing investor interest,Dhruva Advisors - M&A in India: Tax and Regulatory Perspective (November 2025)
Renewables,2025,Chairman & CEO letter: renewables (alongside technology and healthcare) attracting increasing investor interest,Dhruva Advisors - M&A in India: Tax and Regulatory Perspective (November 2025)
